"동별","연령별","시점","계","한국인","등록외국인",
"무악동","100세 이상","2025 년","-","-","-",
"교남동","합계","2024 년","9713","9552","161",
"교남동","합계","2025 년","9589","9438","151",
"교남동","0~4세","2024 년","296","291","5",
"교남동","0~4세","2025 년","271","266","5",
"교남동","5~9세","2024 년","430","423","7",
"교남동","5~9세","2025 년","354","348","6",
"교남동","10~14세","2024 년","357","348","9",
"교남동","10~14세","2025 년","360","351","9",
"교남동","15~19세","2024 년","390","386","4",
"교남동","15~19세","2025 년","401","394","7",
"교남동","20~24세","2024 년","429","425","4",
"교남동","20~24세","2025 년","428","427","1",
"교남동","25~29세","2024 년","644","637","7",
"교남동","25~29세","2025 년","630","623","7",
"교남동","30~34세","2024 년","704","696","8",
"교남동","30~34세","2025 년","703","690","13",
"교남동","35~39세","2024 년","753","725","28",
"교남동","35~39세","2025 년","699","683","16",
"교남동","40~44세","2024 년","854","833","21",
"교남동","40~44세","2025 년","816","796","20",
"교남동","45~49세","2024 년","817","790","27",
"교남동","45~49세","2025 년","815","791","24",
"교남동","50~54세","2024 년","916","903","13",
"교남동","50~54세","2025 년","919","907","12",
"교남동","55~59세","2024 년","745","735","10",
"교남동","55~59세","2025 년","795","780","15",
"교남동","60~64세","2024 년","625","618","7",
"교남동","60~64세","2025 년","596","589","7",
"교남동","65~69세","2024 년","579","574","5",
"교남동","65~69세","2025 년","585","580","5",
"교남동","70~74세","2024 년","404","403","1",
"교남동","70~74세","2025 년","427","427","-",
"교남동","75~79세","2024 년","337","334","3",
"교남동","75~79세","2025 년","353","351","2",
"교남동","80~84세","2024 년","234","233","1",
"교남동","80~84세","2025 년","239","238","1",
"교남동","85~89세","2024 년","148","148","-",
"교남동","85~89세","2025 년","139","139","-",
"교남동","90~94세","2024 년","38","38","-",
"교남동","90~94세","2025 년","49","49","-",
"교남동","95~99세","2024 년","13","12","1",
"교남동","95~99세","2025 년","10","9","1",
"교남동","100세 이상","2024 년","-","-","-",
"교남동","100세 이상","2025 년","-","-","-",
"가회동","합계","2024 년","3882","3778","104",
"가회동","합계","2025 년","3714","3620","94",
"가회동","0~4세","2024 년","57","55","2",
"가회동","0~4세","2025 년","54","50","4",
"가회동","5~9세","2024 년","101","97","4",
"가회동","5~9세","2025 년","77","73","4",
"가회동","10~14세","2024 년","149","146","3",
"가회동","10~14세","2025 년","134","132","2",
"가회동","15~19세","2024 년","163","157","6",
"가회동","15~19세","2025 년","155","152","3",
"가회동","20~24세","2024 년","158","157","1",
"가회동","20~24세","2025 년","128","127","1",
"가회동","25~29세","2024 년","222","217","5",
"가회동","25~29세","2025 년","203","202","1",
"가회동","30~34세","2024 년","286","275","11",
"가회동","30~34세","2025 년","296","287","9",
"가회동","35~39세","2024 년","253","238","15",
"가회동","35~39세","2025 년","232","218","14",
"가회동","40~44세","2024 년","300","290","10",
"가회동","40~44세","2025 년","274","265","9",
"가회동","45~49세","2024 년","314","298","16",
"가회동","45~49세","2025 년","310","293","17",
"가회동","50~54세","2024 년","370","359","11",
"가회동","50~54세","2025 년","326","314","12",
"가회동","55~59세","2024 년","322","313","9",
"가회동","55~59세","2025 년","329","321","8",
"가회동","60~64세","2024 년","308","304","4",
"가회동","60~64세","2025 년","282","279","3",
"가회동","65~69세","2024 년","247","242","5",
"가회동","65~69세","2025 년","271","267","4",
"가회동","70~74세","2024 년","191","190","1",
"가회동","70~74세","2025 년","212","211","1",
"가회동","75~79세","2024 년","177","176","1",
"가회동","75~79세","2025 년","177","175","2",
"가회동","80~84세","2024 년","147","147","-",
"가회동","80~84세","2025 년","142","142","-",
"가회동","85~89세","2024 년","78","78","-",
"가회동","85~89세","2025 년","76","76","-",
"가회동","90~94세","2024 년","29","29","-",
"가회동","90~94세","2025 년","26","26","-",
"가회동","95~99세","2024 년","9","9","-",
"가회동","95~99세","2025 년","9","9","-",
"가회동","100세 이상","2024 년","1","1","-",
"가회동","100세 이상","2025 년","1","1","-",
"종로1.2.3.4가동","합계","2024 년","8549","6668","1881",
"종로1.2.3.4가동","합계","2025 년","8628","6609","2019",
"종로1.2.3.4가동","0~4세","2024 년","192","79","113",
"종로1.2.3.4가동","0~4세","2025 년","177","70","107",
"종로1.2.3.4가동","5~9세","2024 년","208","70","138",
"종로1.2.3.4가동","5~9세","2025 년","209","69","140",
"종로1.2.3.4가동","10~14세","2024 년","240","108","132",
"종로1.2.3.4가동","10~14세","2025 년","243","105","138",
"종로1.2.3.4가동","15~19세","2024 년","217","104","113",
"종로1.2.3.4가동","15~19세","2025 년","293","121","172",
"종로1.2.3.4가동","20~24세","2024 년","454","297","157",
"종로1.2.3.4가동","20~24세","2025 년","401","245","156",
"종로1.2.3.4가동","25~29세","2024 년","779","651","128",
"종로1.2.3.4가동","25~29세","2025 년","749","629","120",
"종로1.2.3.4가동","30~34세","2024 년","703","570","133",
"종로1.2.3.4가동","30~34세","2025 년","746","605","141",
"종로1.2.3.4가동","35~39세","2024 년","634","422","212",
"종로1.2.3.4가동","35~39세","2025 년","667","445","222",
"종로1.2.3.4가동","40~44세","2024 년","706","450","256",
"종로1.2.3.4가동","40~44세","2025 년","663","400","263",
"종로1.2.3.4가동","45~49세","2024 년","566","395","171",
"종로1.2.3.4가동","45~49세","2025 년","610","404","206",
"종로1.2.3.4가동","50~54세","2024 년","645","492","153",
"종로1.2.3.4가동","50~54세","2025 년","652","498","154",
"종로1.2.3.4가동","55~59세","2024 년","642","565","77",
"종로1.2.3.4가동","55~59세","2025 년","636","543","93",
"종로1.2.3.4가동","60~64세","2024 년","716","656","60",
"종로1.2.3.4가동","60~64세","2025 년","682","623","59",
"종로1.2.3.4가동","65~69세","2024 년","670","649","21",
"종로1.2.3.4가동","65~69세","2025 년","669","639","30",
"종로1.2.3.4가동","70~74세","2024 년","416","409","7",
"종로1.2.3.4가동","70~74세","2025 년","482","474","8",
"종로1.2.3.4가동","75~79세","2024 년","319","316","3",
"종로1.2.3.4가동","75~79세","2025 년","311","308","3",
"종로1.2.3.4가동","80~84세","2024 년","264","259","5",
"종로1.2.3.4가동","80~84세","2025 년","262","257","5",
"종로1.2.3.4가동","85~89세","2024 년","122","121","1",
"종로1.2.3.4가동","85~89세","2025 년","123","122","1",
"종로1.2.3.4가동","90~94세","2024 년","41","40","1",
"종로1.2.3.4가동","90~94세","2025 년","40","39","1",
"종로1.2.3.4가동","95~99세","2024 년","11","11","-",
"종로1.2.3.4가동","95~99세","2025 년","10","10","-",
"종로1.2.3.4가동","100세 이상","2024 년","4","4","-",
"종로1.2.3.4가동","100세 이상","2025 년","3","3","-",
"종로5.6가동","합계","2024 년","5852","5294","558",
"종로5.6가동","합계","2025 년","6017","5428","589",
"종로5.6가동","0~4세","2024 년","56","52","4",
"종로5.6가동","0~4세","2025 년","52","49","3",
"종로5.6가동","5~9세","2024 년","94","87","7",
"종로5.6가동","5~9세","2025 년","99","89","10",
"종로5.6가동","10~14세","2024 년","93","88","5",
"종로5.6가동","10~14세","2025 년","95","88","7",
"종로5.6가동","15~19세","2024 년","160","101","59",
"종로5.6가동","15~19세","2025 년","175","110","65",
"종로5.6가동","20~24세","2024 년","520","356","164",
"종로5.6가동","20~24세","2025 년","555","366","189",
"종로5.6가동","25~29세","2024 년","854","720","134",
"종로5.6가동","25~29세","2025 년","913","792","121",
"종로5.6가동","30~34세","2024 년","681","614","67",
"종로5.6가동","30~34세","2025 년","738","665","73",
"종로5.6가동","35~39세","2024 년","358","333","25",
"종로5.6가동","35~39세","2025 년","368","336","32",
"종로5.6가동","40~44세","2024 년","315","291","24",
"종로5.6가동","40~44세","2025 년","340","317","23",
"종로5.6가동","45~49세","2024 년","298","280","18",
"종로5.6가동","45~49세","2025 년","298","274","24",
"종로5.6가동","50~54세","2024 년","399","381","18",
"종로5.6가동","50~54세","2025 년","359","343","16",
"종로5.6가동","55~59세","2024 년","450","433","17",
"종로5.6가동","55~59세","2025 년","436","426","10",
"종로5.6가동","60~64세","2024 년","458","453","5",
"종로5.6가동","60~64세","2025 년","444","439","5",
"종로5.6가동","65~69세","2024 년","360","352","8",
"종로5.6가동","65~69세","2025 년","387","381","6",
"종로5.6가동","70~74세","2024 년","238","237","1",
"종로5.6가동","70~74세","2025 년","244","241","3",
"종로5.6가동","75~79세","2024 년","229","228","1",
"종로5.6가동","75~79세","2025 년","216","215","1",
"종로5.6가동","80~84세","2024 년","176","176","-",
"종로5.6가동","80~84세","2025 년","175","175","-",
"종로5.6가동","85~89세","2024 년","78","78","-",
"종로5.6가동","85~89세","2025 년","84","84","-",
"종로5.6가동","90~94세","2024 년","28","27","1",
"종로5.6가동","90~94세","2025 년","31","30","1",
"종로5.6가동","95~99세","2024 년","7","7","-",
"종로5.6가동","95~99세","2025 년","8","8","-",
"종로5.6가동","100세 이상","2024 년","-","-","-",
"종로5.6가동","100세 이상","2025 년","-","-","-",
"이화동","합계","2024 년","7533","7009","524",
"이화동","합계","2025 년","7607","7057","550",
"이화동","0~4세","2024 년","74","68","6",
"이화동","0~4세","2025 년","68","60","8",
"이화동","5~9세","2024 년","99","93","6",
"이화동","5~9세","2025 년","85","81","4",
"이화동","10~14세","2024 년","142","138","4",
"이화동","10~14세","2025 년","142","138","4",
"이화동","15~19세","2024 년","216","194","22",
"이화동","15~19세","2025 년","216","185","31",
"이화동","20~24세","2024 년","678","505","173",
"이화동","20~24세","2025 년","655","481","174",
"이화동","25~29세","2024 년","1188","1040","148",
"이화동","25~29세","2025 년","1219","1067","152",
"이화동","30~34세","2024 년","850","797","53",
"이화동","30~34세","2025 년","862","796","66",
"이화동","35~39세","2024 년","506","462","44",
"이화동","35~39세","2025 년","522","476","46",
"이화동","40~44세","2024 년","445","426","19",
"이화동","40~44세","2025 년","441","422","19",
"이화동","45~49세","2024 년","375","367","8",
"이화동","45~49세","2025 년","380","367","13",
"이화동","50~54세","2024 년","512","499","13",
"이화동","50~54세","2025 년","459","453","6",
"이화동","55~59세","2024 년","514","503","11",
"이화동","55~59세","2025 년","533","523","10",
"이화동","60~64세","2024 년","525","517","8",
"이화동","60~64세","2025 년","529","519","10",
"이화동","65~69세","2024 년","418","413","5",
"이화동","65~69세","2025 년","456","453","3",
"이화동","70~74세","2024 년","329","325","4",
"이화동","70~74세","2025 년","362","358","4",
"이화동","75~79세","2024 년","259","259","-",
"이화동","75~79세","2025 년","262","262","-",
"이화동","80~84세","2024 년","220","220","-",
"이화동","80~84세","2025 년","213","213","-",
"이화동","85~89세","2024 년","129","129","-",
"이화동","85~89세","2025 년","144","144","-",
"이화동","90~94세","2024 년","44","44","-",
"이화동","90~94세","2025 년","51","51","-",
"이화동","95~99세","2024 년","10","10","-",
"이화동","95~99세","2025 년","8","8","-",
"이화동","100세 이상","2024 년","-","-","-",
"이화동","100세 이상","2025 년","-","-","-",
"혜화동","합계","2024 년","19023","15822","3201",
"혜화동","합계","2025 년","18901","15652","3249",
"혜화동","0~4세","2024 년","195","188","7",
"혜화동","0~4세","2025 년","188","175","13",
"혜화동","5~9세","2024 년","288","283","5",
"혜화동","5~9세","2025 년","264","254","10",
"혜화동","10~14세","2024 년","498","493","5",
"혜화동","10~14세","2025 년","450","444","6",
"혜화동","15~19세","2024 년","904","664","240",
"혜화동","15~19세","2025 년","937","664","273",
"혜화동","20~24세","2024 년","3900","2141","1759",
"혜화동","20~24세","2025 년","3702","2074","1628",
"혜화동","25~29세","2024 년","2963","2125","838",
"혜화동","25~29세","2025 년","3028","2115","913",
"혜화동","30~34세","2024 년","1452","1268","184",
"혜화동","30~34세","2025 년","1467","1268","199",
"혜화동","35~39세","2024 년","837","781","56",
"혜화동","35~39세","2025 년","883","795","88",
