접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
도보,강서구,등촌3동,문화체험,0.00124520982554917,0.00046697963565787607,84,1.7857142857142858
도보,강서구,등촌3동,영상,0.0009198612978372021,0.00031792285193213594,49,1.2244897959183674
도보,강서구,등촌3동,체육시설,0.0029403286562803754,0.0022177396396195533,106,7.89622641509434
도보,강서구,등촌3동,체육용품,0.0007429968816496954,0.000563806511433798,70,1.6285714285714286
도보,강서구,발산1동,도서,0.0021897455213828027,0.0022177922992154455,141,3.4113475177304964
도보,강서구,발산1동,문화체험,0.0039273752132163555,0.0011420121275119968,116,1.3793103448275863
도보,강서구,발산1동,영상,0.0026219055435347744,0.0026219055435347744,11,1.0
도보,강서구,발산1동,체육시설,0.0068331694964258735,0.0029438924477644666,180,3.922222222222222
도보,강서구,발산1동,체육용품,0.001191420960567514,0.0010630655528431744,170,1.3470588235294119
도보,강서구,방화1동,도서,0.001113296912257533,0.0005770492807445991,96,1.5416666666666667
도보,강서구,방화1동,문화체험,0.001116749259575596,0.0011420121275119968,115,1.826086956521739
도보,강서구,방화1동,체육시설,0.002893515412067448,0.0023188376514318592,133,3.6240601503759398
도보,강서구,방화1동,체육용품,0.0015728128499955666,0.0015116506141120006,100,2.55
도보,강서구,방화2동,도서,0.0015451691270622903,0.002317603893373622,92,1.1956521739130435
도보,강서구,방화2동,문화체험,0.0009623088945301503,0.0011357817405280566,77,1.1688311688311688
도보,강서구,방화2동,영상,0.11242629450704139,0.11242629450704139,17,1.0
도보,강서구,방화2동,체육시설,0.00212946378373666,0.0019167964773504403,87,3.9195402298850577
도보,강서구,방화2동,체육용품,0.0010884898122209116,0.0010739636936418983,69,2.5217391304347827
도보,강서구,방화3동,도서,0.0006937686267555701,0.0005794221751029781,30,1.4333333333333333
도보,강서구,방화3동,문화체험,0.0008520332172557343,0.0008572982860177278,95,1.7263157894736842
도보,강서구,방화3동,체육시설,0.0009488731769385364,0.000681570102998346,81,1.8271604938271604
도보,강서구,방화3동,체육용품,0.0009503464133329848,0.0008408921032239614,85,1.5411764705882354
도보,강서구,염창동,도서,0.002626735772355481,0.0028318905266770437,90,1.1
도보,강서구,염창동,문화체험,0.004326340893134169,0.004471884684358615,100,1.86
