접근수단,가맹점_ID,중분류,시설_유효수요,가맹점명,시군구_가맹점,소분류,공급량,시설_공급수요비
도보,STORE_00101,체육시설,535.7586207686418,모두와당구장,강남구,체육시설,1.0,0.0018665121964165892
도보,STORE_00179,체육용품,1257.6103477360691,조은자전거,강남구,체육용품,1.0,0.0007951588517064802
도보,STORE_00175,체육시설,108.45893238350553,일원스포츠문화센터(강남구도시관리공단),강남구,체육시설,1.0,0.00922007969305883
도보,STORE_00067,체육시설,953.4183694136822,대진체육관(강남구도시관리공단),강남구,체육시설,1.0,0.0010488574922412747
도보,STORE_00115,체육용품,508.87463507512524,삼천리자전거 강남점,강남구,체육용품,1.0,0.0019651205445765044
도보,STORE_03203,체육시설,204.3898524153982,캣츠당구장,송파구,체육시설,1.0,0.0048926108032389904
도보,STORE_03204,체육시설,279.07310201606157,커브스 거여클럽,송파구,체육시설,1.0,0.0035832905169859283
도보,STORE_03027,문화체험,1431.4569002064054,거여2동 주민자치위원회,송파구,문화체험,1.0,0.0006985889689419272
도보,STORE_03227,체육시설,332.67831007670367,하이런당구장,송파구,체육시설,1.0,0.0030059068166164364
도보,STORE_03152,체육시설,267.3043204405511,에이알휘트니스,송파구,체육시설,1.0,0.0037410543845751323
도보,STORE_03222,체육시설,267.3043204405511,필라제이,송파구,체육시설,1.0,0.0037410543845751323
도보,STORE_03076,체육시설,186.78925511251182,문당구클럽,송파구,체육시설,1.0,0.005353627002782648
도보,STORE_03067,체육시설,464.51689724093177,마천동필라테스,송파구,체육시설,1.0,0.002152774217557318
도보,STORE_03238,도서,1966.7200150091126,황룡서점(황룡서적),송파구,도서,1.0,0.0005084607836237262
도보,STORE_03187,체육시설,215.5306102013483,점핑스타 거여역점,송파구,체육시설,1.0,0.004639712192462137
도보,STORE_03160,체육시설,295.7790319576868,오색당구장,송파구,체육시설,1.0,0.0033809022680926777
도보,STORE_03225,도서,1573.110416030103,하늘꿈기독교백화점,송파구,도서,1.0,0.0006356832869517178
도보,STORE_03202,체육시설,417.66558361990724,캐슬당구클럽,송파구,체육시설,1.0,0.0023942599994306473
도보,STORE_03121,체육시설,187.74839116976665,송파구체육문화회관(송파구시설관리공단),송파구,체육시설,1.0,0.0053262773319627315
도보,STORE_03170,체육시설,269.9173681302747,원탁구,송파구,체육시설,1.0,0.0037048375468649104
도보,STORE_03066,문화체험,1357.4091623762856,마천2동 자치회관(마천2동 주민자치위원회),송파구,문화체험,1.0,0.0007366975468541823
도보,STORE_03099,체육용품,1428.4339468393155,삼천리자전거 거마점,송파구,체육용품,1.0,0.0007000673725324802
도보,STORE_03118,도서,817.0015193391682,세신서적,송파구,도서,1.0,0.00122398793188151
도보,STORE_03083,체육용품,837.2815683983279,바이크패밀리(비에프컴퍼니),송파구,체육용품,1.0,0.0011943413515156476
도보,STORE_02439,체육용품,1019.5320583137134,삼천리자전거 가재울점,서대문구,체육용품,1.0,0.0009808421342375256
도보,STORE_02403,문화체험,978.0960511496402,남가좌1동주민자치위원회,서대문구,문화체험,1.0,0.001022394476314074
도보,STORE_02412,체육시설,994.0470277744209,마젤필라테스 가재울점,서대문구,체육시설,1.0,0.001005988622327967
도보,STORE_03138,체육용품,932.4364036981115,아우토반키즈카 송파점,송파구,체육용품,1.0,0.0010724592004708593
도보,STORE_03043,체육시설,1249.9224950464045,덕아웃 야구캠프,송파구,체육시설,1.0,0.000800049606246085
도보,STORE_03106,체육용품,933.8559603230345,삼천리자전거 장지점,송파구,체육용품,1.0,0.0010708289527370852
도보,STORE_03035,도서,682.1486829037603,놀숲 문정로데오점,송파구,도서,1.0,0.0014659560665619333
도보,STORE_03018,체육시설,393.5584413826915,ROCK BODY GYM (락 바디짐),송파구,체육시설,1.0,0.00254091869173659
도보,STORE_03103,체육용품,599.7440300863836,삼천리자전거 오금동부점(동부상사),송파구,체육용품,1.0,0.001667377997670049
도보,STORE_03115,체육시설,252.9205268627513,서울곰두리체육센터,송파구,체육시설,1.0,0.003953811153266557
도보,STORE_03148,체육시설,203.43223278337172,양일영 탁구장,송파구,체육시설,1.0,0.004915641864211691
도보,STORE_03120,체육시설,261.2492095722383,소마필라테스 송파개롱역점,송파구,체육시설,1.0,0.0038277627773012986
도보,STORE_03026,도서,826.8915594493724,개롱서점,송파구,도서,1.0,0.001209348418873571
도보,STORE_03082,체육용품,293.63676035609717,바이크코리아,송파구,체육용품,1.0,0.003405568154298143
도보,STORE_00344,체육시설,356.93998848757457,석사경희태권도,강동구,체육시설,1.0,0.002801591394220631
도보,STORE_00273,체육시설,411.1529556803072,놀자GO볼링장,강동구,체육시설,1.0,0.0024321848747149762
도보,STORE_00406,체육용품,823.1524907638944,천호자전거,강동구,체육용품,1.0,0.001214841734940253
도보,STORE_00263,도서,931.7523927361402,교보문고 천호점,강동구,도서,1.0,0.0010732465060416395
도보,STORE_00416,체육시설,459.8244352640547,파이어짐 (파이어짐 헬스 PT 천호역점),강동구,체육시설,1.0,0.0021747430612854422
도보,STORE_00340,체육용품,758.9740504928955,삼천리자전거 천호영MTB점,강동구,체육용품,1.0,0.0013175681030867612
도보,STORE_00369,도서,824.8235381629385,알라딘 중고서점 천호점,강동구,도서,1.0,0.0012123805319950224
도보,STORE_00274,문화체험,668.9694230983674,뉴웨이브실용음악학원,강동구,문화체험,1.0,0.0014948366329935482
도보,STORE_00388,체육시설,832.685993471783,올바로필라테스 천호점,강동구,체육시설,1.0,0.001200932894080062
도보,STORE_00405,문화체험,1144.669695228165,천호2동 주민자치위원회,강동구,문화체험,1.0,0.0008736144620310506
도보,STORE_00418,문화체험,254.5743776828213,평생문화센터 강동교육원,강동구,문화체험,1.0,0.003928125089029649
도보,STORE_00385,문화체험,318.24466426685393,예종피아노음악학원,강동구,문화체험,1.0,0.0031422365000328234
도보,STORE_00339,체육용품,412.5651919921312,삼천리자전거 천호삼천리점,강동구,체육용품,1.0,0.0024238593546182462
도보,STORE_01599,체육시설,629.8934311543529,마이핏 휘트니스,노원구,체육시설,1.0,0.0015875701357408725
도보,STORE_01540,체육시설,661.4923913030779,경호태권스쿨(경호태권도체육관),노원구,체육시설,1.0,0.0015117331856683853
도보,STORE_01591,체육시설,822.1186424707371,로즈짐(ROSEGYM),노원구,체육시설,1.0,0.0012163694488117566
도보,STORE_01731,체육시설,200.51363566949325,차즘,노원구,체육시설,1.0,0.0049871920014871235
도보,STORE_01663,문화체험,1150.2002898730475,쏭앤비,노원구,문화체험,1.0,0.0008694137958445257
도보,STORE_01368,체육시설,377.4971636196025,와탁구장,구로구,체육시설,1.0,0.002649026526216984
도보,STORE_02647,체육시설,68.05268995691468,잠원스포츠파크,서초구,체육시설,1.0,0.014694496288583407
도보,STORE_02578,문화체험,100.84032162653033,반포종합사회복지관,서초구,문화체험,1.0,0.009916668093380095
도보,STORE_02527,도서,38.402294722963376,거목서점,서초구,도서,1.0,0.026040110551050773
도보,STORE_02634,도서,26.914548822196043,요단기독교서적교회용품센터,서초구,도서,1.0,0.03715462616914887
도보,STORE_02575,음악,101.76231926965036,반포기독센타,서초구,음악,1.0,0.00982682005654956
도보,STORE_02646,문화체험,305.36562167866174,잠원동 주민센터,서초구,문화체험,1.0,0.00327476287115354
도보,STORE_02503,체육시설,295.50742193551616,(주) 신사스포츠센타,서초구,체육시설,1.0,0.0033840097600601514
도보,STORE_00374,체육시설,348.57182377562594,암사 라이크짐 헬스PT,강동구,체육시설,1.0,0.0028688492063652722
도보,STORE_00428,도서,477.2929678856061,현대서적문구,강동구,도서,1.0,0.002095149242256744
도보,STORE_00290,체육시설,294.2057926960465,라이언짐 암사역점 헬스 PT,강동구,체육시설,1.0,0.003398981341720665
도보,STORE_00277,체육시설,325.95789818484565,다빈치 당구장 (다빈치당구클럽),강동구,체육시설,1.0,0.0030678808691818093
도보,STORE_00387,체육시설,314.98251605952805,올바로필라테스 암사점,강동구,체육시설,1.0,0.003174779389377319
도보,STORE_00332,체육용품,561.6022351809553,삼천리자전거 대광점,강동구,체육용품,1.0,0.0017806196937193233
도보,STORE_00337,체육용품,654.0487188281221,삼천리자전거 암사점(엠케이 바이크),강동구,체육용품,1.0,0.0015289380916328813
도보,STORE_01234,체육시설,393.15786332430827,코엑스짐 군자역점,광진구,체육시설,1.0,0.002543507566005667
도보,STORE_01213,체육시설,1233.3284383427656,인사이트 피트니스 중곡점,광진구,체육시설,1.0,0.0008108140288597488
도보,STORE_01173,도서,675.4751238999826,서점로티,광진구,도서,1.0,0.0014804394190363547
도보,STORE_01238,문화체험,2516.123143814442,토모토모(tomotomo),광진구,문화체험,1.0,0.00039743682754890937
도보,STORE_03055,체육시설,195.37188505777806,땡큐당구장,송파구,체육시설,1.0,0.0051184437295277475
도보,STORE_03195,체육시설,279.0270978192409,"참,고운 필라테스",송파구,체육시설,1.0,0.003583881306925319
도보,STORE_03158,체육시설,260.65788320914896,영화당구클럽,송파구,체육시설,1.0,0.0038364464089413754
도보,STORE_03042,도서,39.78725854306377,더함 뮤지움 샵,송파구,도서,1.0,0.025133674362551248
도보,STORE_03362,문화체험,615.3413600292578,양천문화원,양천구,문화체험,1.0,0.0016251142292019064
도보,STORE_03330,도서,489.1152641295418,신목서점,양천구,도서,1.0,0.0020445078559951685
도보,STORE_01259,체육시설,163.14670339049712,IXU웰니스짐(주식회사우덜끼리),구로구,체육시설,1.0,0.006129452690235894
도보,STORE_03601,체육시설,636.0687687185782,행운당구장,영등포구,체육시설,1.0,0.0015721570515317019
도보,STORE_03478,체육용품,627.0498075011293,두발자전거,영등포구,체육용품,1.0,0.0015947696467448465
도보,STORE_03564,체육시설,373.64811021570813,웰니스요가 신풍점,영등포구,체육시설,1.0,0.0026763148873486797
도보,STORE_03500,체육시설,483.46285468086444,보라필라테스,영등포구,체육시설,1.0,0.00206841123432348
도보,STORE_03469,문화체험,1052.998191192999,대림제1동 주민자치위원회,영등포구,문화체험,1.0,0.0009496692476432894
도보,STORE_03498,체육용품,578.2316747915363,반도스포츠,영등포구,체육용품,1.0,0.0017294106213751076
